package_id,title,summary,url
cos-spu.13,Urban Stream Restoration,"A story about restoring Seattle's urban streams for salmon.",https://example.com
cos-spu.13,Salmon Return Success,"How restoration efforts led to increased salmon returns in city streams.",https://example.com
cos-spu.13,Community Volunteers in Action,"Local volunteers help monitor and clean up urban waterways.",https://example.com
cos-spu.9,Green Infrastructure,"How green infrastructure is transforming city water management.",https://example.com
cos-spu.9,Stormwater Solutions,"Innovative stormwater projects reduce flooding and pollution.",https://example.com
cos-spu.9,Urban Rain Gardens,"Seattle's rain gardens: beauty and function for neighborhoods.",https://example.com
cos-spu.12,Community Science,"Engaging the public in water quality monitoring.",https://example.com
cos-spu.12,Youth Science Programs,"Students learn about water science through hands-on projects.",https://example.com
cos-spu.12,Data for Decision Makers,"How community-collected data informs city planning.",https://example.com

